Modelo;KFold01_Accuracy;KFold02_Accuracy;KFold03_Accuracy;KFold04_Accuracy;KFold05_Accuracy;KFold06_Accuracy;KFold07_Accuracy;KFold08_Accuracy;KFold09_Accuracy;KFold10_Accuracy
Xception+ResNet50_Full_J48;0,6857;0,7143;0,7941;0,8529;0,6176;0,6765;0,7647;0,8824;0,7647;0,7059
Xception+ResNet50_Full_RBF;0,8857;0,9429;0,8824;0,8235;0,9412;0,9412;0,9118;0,9118;0,9412;0,8824
Xception+ResNet50_Full_LinearSVM;0,8857;0,9143;0,9118;0,8824;0,9412;0,9706;0,9118;1;0,9118;0,9706
Xception+ResNet50_Full_MLP;0,8857;0,9143;0,9118;0,8529;0,9706;0,9118;0,8824;0,9118;0,8824;0,9706
Xception+ResNet50_Full_Logistic;0,8857;0,9429;0,9118;0,8824;0,9706;0,9706;0,9118;1;0,9118;0,9706
Xception+ResNet50_Full_RandomForest;0,8286;0,8286;0,8529;0,7941;0,9706;0,9118;0,9412;0,9118;0,9412;0,9412
Xception+ResNet50_Full_Adaboost;0,7714;0,8286;0,9118;0,8824;0,9412;0,8529;0,9118;0,8235;0,9706;0,9412
Xception+ResNet50_Full_Gaussian;0,6571;0,7714;0,7941;0,5882;0,6765;0,6765;0,8529;0,7647;0,6765;0,6471
VGG16+VGG19_Full_J48;0,5714;0,7429;0,6471;0,7059;0,6471;0,6765;0,6765;0,7059;0,8529;0,8529
VGG16+VGG19_Full_RBF;0,7714;0,8;0,8824;0,7647;0,7941;0,9118;0,8824;0,8824;0,9412;0,8824
VGG16+VGG19_Full_LinearSVM;0,8857;0,8571;0,9706;0,8529;0,9118;0,8824;0,8824;0,9412;0,9412;0,9118
VGG16+VGG19_Full_MLP;0,4286;0,9143;0,9412;0,5882;0,5;0,5294;0,8529;0,9118;0,6471;1
VGG16+VGG19_Full_Logistic;0,8857;0,8571;0,9706;0,8529;0,9118;0,8824;0,8824;0,9412;0,9412;0,9118
VGG16+VGG19_Full_RandomForest;0,8571;0,9143;0,8824;0,8235;0,8529;0,8529;0,8529;0,9118;0,9412;0,9412
VGG16+VGG19_Full_Adaboost;0,8;0,8286;0,8235;0,7941;0,7647;0,8235;0,7941;0,7059;0,8824;0,8824
VGG16+VGG19_Full_Gaussian;0,7714;0,7429;0,6765;0,5294;0,7353;0,8235;0,5588;0,8235;0,7059;0,6765
Xception_Full_J48;0,7714;0,6857;0,6471;0,6471;0,5882;0,7353;0,5588;0,7059;0,7059;0,7353
Xception_Full_RBF;0,8286;0,8286;0,8824;0,8235;0,8824;0,9118;0,8529;0,8824;0,8824;0,8235
Xception_Full_LinearSVM;0,8571;0,8571;0,9118;0,8824;0,9118;0,9412;0,9412;0,9118;0,8235;0,9118
Xception_Full_MLP;0,8857;0,9429;0,8529;0,8529;0,9412;0,9118;0,8529;0,8824;0,8235;0,9412
Xception_Full_Logistic;0,8;0,8857;0,9118;0,8824;0,9118;0,9412;0,9118;0,9118;0,8235;0,9118
Xception_Full_RandomForest;0,7714;0,8571;0,8529;0,7941;0,9118;0,9118;0,8529;0,8824;0,8235;0,9412
Xception_Full_Adaboost;0,7143;0,8571;0,7941;0,8529;0,9412;0,8235;0,8824;0,7941;0,8235;0,7941
Xception_Full_Gaussian;0,7714;0,5143;0,7059;0,5882;0,6765;0,7353;0,7059;0,7353;0,7059;0,7647
VGG16_Full_J48;0,6286;0,6286;0,8529;0,7059;0,8235;0,7647;0,5882;0,7941;0,8529;0,7059
VGG16_Full_RBF;0,7714;0,8;0,8824;0,7647;0,8824;0,9118;0,8824;0,8529;0,9118;0,9118
VGG16_Full_LinearSVM;0,9143;0,8571;0,9118;0,8529;0,9412;0,9118;0,8824;0,8824;0,9412;0,9118
VGG16_Full_MLP;0,8571;0,8571;0,8529;0,8235;0,9412;0,9412;0,8529;0,8235;0,9706;0,9706
VGG16_Full_Logistic;0,8857;0,8571;0,9118;0,8529;0,9412;0,9118;0,8824;0,8824;0,9412;0,9118
VGG16_Full_RandomForest;0,7429;0,8857;0,8529;0,8235;0,8529;0,8529;0,7941;0,9706;0,9706;0,9412
VGG16_Full_Adaboost;0,7429;0,8;0,8529;0,7647;0,8235;0,8235;0,9118;0,9118;0,8529;0,9118
VGG16_Full_Gaussian;0,7429;0,7429;0,7059;0,5;0,7941;0,7941;0,6471;0,8235;0,6765;0,6765
VGG19_Full_J48;0,6857;0,8286;0,7941;0,6471;0,6765;0,8235;0,7941;0,7647;0,8824;0,8824
VGG19_Full_RBF;0,7429;0,8286;0,9118;0,7941;0,7941;0,8824;0,8824;0,8824;0,9118;0,8529
VGG19_Full_LinearSVM;0,8571;0,8571;0,9412;0,8235;0,9118;0,8824;0,8824;0,9412;0,9412;0,8824
VGG19_Full_MLP;0,8571;0,8857;0,9118;0,8235;0,8824;0,9412;0,8529;0,8529;0,9118;0,9412
VGG19_Full_Logistic;0,8571;0,8571;0,9412;0,7941;0,9118;0,8824;0,8824;0,9412;0,9412;0,9412
VGG19_Full_RandomForest;0,8;0,8857;0,9118;0,8529;0,7059;0,9118;0,9118;0,8824;0,9706;0,8824
VGG19_Full_Adaboost;0,7714;0,8857;0,8824;0,7647;0,8529;0,8824;0,8529;0,8824;0,9706;0,8529
VGG19_Full_Gaussian;0,7714;0,7143;0,6176;0,5882;0,6765;0,7353;0,6471;0,8235;0,7059;0,5882
ResNet50_Full_J48;0,6857;0,8571;0,8235;0,7941;0,7353;0,7059;0,7941;0,8824;0,8235;0,6471
ResNet50_Full_RBF;0,9143;0,9143;0,8529;0,8235;0,9412;0,9706;0,8235;0,9412;0,9118;0,8824
ResNet50_Full_LinearSVM;0,8857;0,9429;0,9118;0,8824;0,9706;0,9706;0,9118;1;0,9118;0,9706
ResNet50_Full_MLP;0,9143;0,9714;0,9118;0,8235;0,9706;0,8824;0,8824;0,9118;0,9412;0,9118
ResNet50_Full_Logistic;0,8857;0,9429;0,9118;0,8529;0,9706;0,9706;0,9118;1;0,9412;0,9706
ResNet50_Full_RandomForest;0,8571;0,8571;0,9118;0,8529;0,9412;0,9118;0,9118;0,9706;0,8824;0,8529
ResNet50_Full_Adaboost;0,8286;0,8571;0,9118;0,8824;0,9706;0,8529;0,8529;0,9412;0,9118;0,8529
ResNet50_Full_Gaussian;0,6857;0,7714;0,7647;0,6176;0,6765;0,6765;0,8529;0,6765;0,6471;0,6765
ResNet101_Full_J48;0,7143;0,8286;0,6765;0,7647;0,7941;0,7647;0,7647;0,7353;0,8529;0,8235
ResNet101_Full_RBF;0,8286;0,9143;0,9118;0,7941;0,9118;0,9118;0,9118;0,9412;0,9118;0,8529
ResNet101_Full_LinearSVM;0,8571;0,8857;0,9706;0,8824;0,9118;0,9118;0,9118;0,9706;0,9412;0,9412
ResNet101_Full_MLP;0,7143;0,8857;0,9412;0,7647;0,8529;0,9412;0,9412;0,9706;0,9412;0,8529
ResNet101_Full_Logistic;0,8571;0,8857;0,9706;0,8824;0,9118;0,9118;0,9118;0,9706;0,9412;0,9412
ResNet101_Full_RandomForest;0,8;0,8571;0,8824;0,8529;0,9118;0,9412;0,9412;0,9412;0,9412;0,8824
ResNet101_Full_Adaboost;0,8286;0,7714;0,8235;0,7941;0,8529;0,7647;0,8824;0,9118;0,9412;0,8824
ResNet101_Full_Gaussian;0,6286;0,7429;0,7059;0,5294;0,5588;0,5;0,7353;0,6765;0,7647;0,7059
ResNet152_Full_J48;0,7714;0,7429;0,7647;0,7647;0,7647;0,8235;0,9118;0,9412;0,8529;0,8529
ResNet152_Full_RBF;0,8571;0,8857;0,8529;0,7941;0,9412;0,9412;0,8824;0,8824;0,9412;0,8824
ResNet152_Full_LinearSVM;0,8571;0,9143;0,9706;0,8529;0,9706;0,9118;0,9706;0,9412;0,9118;0,9412
ResNet152_Full_MLP;0,8571;0,9143;0,9412;0,7353;0,9118;0,8529;0,8824;0,9118;0,9412;0,8824
ResNet152_Full_Logistic;0,8571;0,8857;0,9706;0,8529;0,9412;0,9412;0,9706;0,9412;0,9118;0,9412
ResNet152_Full_RandomForest;0,8571;0,8571;0,9118;0,8235;0,8824;0,9118;0,9412;0,8824;0,9118;0,9412
ResNet152_Full_Adaboost;0,8571;0,8571;0,8529;0,8529;0,8235;0,9412;0,9118;0,8529;0,8235;0,9118
ResNet152_Full_Gaussian;0,6571;0,8286;0,6471;0,3824;0,7059;0,6471;0,6176;0,6471;0,6176;0,6176
ResNet50V2_Full_J48;0,7714;0,7143;0,7647;0,7353;0,7647;0,6176;0,7059;0,8529;0,6471;0,8235
ResNet50V2_Full_RBF;0,9143;0,8571;0,9118;0,8235;0,9118;0,9118;0,8235;0,8824;0,8824;0,8824
ResNet50V2_Full_LinearSVM;0,8571;0,8857;0,8824;0,8824;0,9118;0,9118;0,8529;0,9118;0,9118;0,9412
ResNet50V2_Full_MLP;0,8286;0,8571;0,9412;0,8529;0,9118;0,8529;0,9118;0,9118;0,9118;0,8824
ResNet50V2_Full_Logistic;0,8571;0,8857;0,8824;0,8824;0,8824;0,8824;0,8824;0,9118;0,9118;0,9118
ResNet50V2_Full_RandomForest;0,8286;0,8857;0,8824;0,8529;0,8529;0,8824;0,9412;0,9412;0,9118;0,9118
ResNet50V2_Full_Adaboost;0,8571;0,8571;0,8235;0,7647;0,7647;0,8529;0,7941;0,9118;0,8529;0,8529
ResNet50V2_Full_Gaussian;0,7714;0,8571;0,8235;0,6765;0,7941;0,7353;0,7941;0,7647;0,7941;0,7941
ResNet101V2_Full_J48;0,8857;0,7429;0,8235;0,7647;0,7647;0,7059;0,7647;0,7353;0,6765;0,7941
ResNet101V2_Full_RBF;0,8857;0,9143;0,8529;0,8235;0,8824;0,8824;0,8529;0,8529;0,9412;1
ResNet101V2_Full_LinearSVM;0,9143;0,8857;0,8824;0,8824;0,9412;0,9412;0,9412;0,9118;0,9412;1
ResNet101V2_Full_MLP;0,9143;0,8571;0,8529;0,8824;0,9706;0,9118;0,9412;0,9118;0,9118;0,8824
ResNet101V2_Full_Logistic;0,9143;0,8857;0,8824;0,8824;0,9412;0,9412;0,9412;0,9412;0,9706;1
ResNet101V2_Full_RandomForest;0,9429;0,9429;0,8824;0,8529;0,8824;0,8529;0,8824;0,9118;0,9412;0,9412
ResNet101V2_Full_Adaboost;0,8857;0,7429;0,9118;0,9118;0,8824;0,8235;0,9118;0,8529;0,8529;0,8824
ResNet101V2_Full_Gaussian;0,7714;0,7714;0,8235;0,4706;0,6176;0,7353;0,7059;0,7647;0,7059;0,6471
ResNet152V2_Full_J48;0,5714;0,6571;0,7059;0,7059;0,6471;0,6765;0,7647;0,7353;0,8529;0,8529
ResNet152V2_Full_RBF;0,8571;0,8857;0,8824;0,8235;0,8824;0,8529;0,7941;0,9412;0,9118;0,9412
ResNet152V2_Full_LinearSVM;0,8286;0,8857;0,9706;0,9118;0,9412;0,8529;0,8824;0,9706;0,9412;0,9412
ResNet152V2_Full_MLP;0,8857;0,8857;0,8824;0,8235;0,9412;0,8529;0,9412;0,9412;0,9412;0,9118
ResNet152V2_Full_Logistic;0,8286;0,9143;0,9706;0,9118;0,9412;0,8529;0,8824;0,9706;0,9412;0,9412
ResNet152V2_Full_RandomForest;0,8571;0,8286;0,8529;0,8529;0,8824;0,7647;0,8824;0,9412;0,9118;0,8824
ResNet152V2_Full_Adaboost;0,8;0,7429;0,7647;0,8235;0,7941;0,8824;0,7647;0,9706;0,9118;0,8235
ResNet152V2_Full_Gaussian;0,7429;0,8571;0,7059;0,5294;0,7353;0,7647;0,7059;0,8235;0,6765;0,7353
InceptionV3_Full_J48;0,6571;0,6286;0,6471;0,6765;0,7647;0,6471;0,6176;0,5882;0,6176;0,6176
InceptionV3_Full_RBF;0,8286;0,9143;0,8824;0,7941;0,8824;0,9118;0,7353;0,9118;0,9118;0,9118
InceptionV3_Full_LinearSVM;0,8286;0,9143;0,9706;0,8529;0,8824;0,8824;0,8824;0,9706;0,9118;0,9412
InceptionV3_Full_MLP;0,8571;0,3429;0,8824;0,8235;0,9118;0,7941;0,8235;0,5294;0,9412;0,9706
InceptionV3_Full_Logistic;0,8;0,9429;0,9412;0,8529;0,8824;0,8824;0,8824;0,9706;0,9118;0,9412
InceptionV3_Full_RandomForest;0,8;0,8571;0,8824;0,8529;0,8235;0,8235;0,8529;0,9118;0,8824;0,8529
InceptionV3_Full_Adaboost;0,8286;0,8;0,8235;0,7353;0,7941;0,8235;0,9118;0,8824;0,8824;0,8529
InceptionV3_Full_Gaussian;0,6;0,7143;0,7059;0,7647;0,7647;0,7941;0,7941;0,8235;0,8529;0,8529
InceptionResNetV2_Full_J48;0,8;0,6857;0,7647;0,7647;0,7059;0,8529;0,7941;0,6471;0,7647;0,7941
InceptionResNetV2_Full_RBF;0,8;0,9714;0,8529;0,8235;0,9118;0,9412;0,8529;0,9118;0,8824;0,9412
InceptionResNetV2_Full_LinearSVM;0,8;0,9143;0,9118;0,8824;0,9118;0,9706;0,8824;0,9118;0,9118;0,9412
InceptionResNetV2_Full_MLP;0,8286;0,9429;0,8824;0,8529;0,9118;0,9706;0,8529;0,9412;0,9118;0,9118
InceptionResNetV2_Full_Logistic;0,8;0,9143;0,9118;0,8529;0,9118;0,9706;0,8824;0,9412;0,9118;0,9706
InceptionResNetV2_Full_RandomForest;0,7714;0,8571;0,8235;0,8824;0,8235;0,9412;0,8824;0,9118;0,8235;0,9706
InceptionResNetV2_Full_Adaboost;0,8286;0,9143;0,8235;0,8824;0,7941;0,9118;0,8529;0,9412;0,8529;0,8235
InceptionResNetV2_Full_Gaussian;0,7714;0,7714;0,7059;0,7647;0,7941;0,8824;0,8529;0,8824;0,7647;0,9118
MobileNet_Full_J48;0,7714;0,8;0,7059;0,7353;0,7647;0,7941;0,7647;0,7647;0,7941;0,8529
MobileNet_Full_RBF;0,9143;0,9429;0,9118;0,7941;0,8529;0,9118;0,8824;0,9118;0,9118;1
MobileNet_Full_LinearSVM;0,8857;0,9714;0,9412;0,8529;0,9118;0,9412;0,8529;0,9706;0,9412;1
MobileNet_Full_MLP;0,8571;0,9429;0,9118;0,8824;0,9118;0,8529;0,7941;0,9118;0,9118;0,9706
MobileNet_Full_Logistic;0,8857;0,9714;0,9412;0,8529;0,9118;0,9412;0,8824;0,9706;0,9412;1
MobileNet_Full_RandomForest;0,8571;0,9143;0,9118;0,8529;0,8529;0,8824;0,8235;0,9706;0,8824;1
MobileNet_Full_Adaboost;0,7429;0,9143;0,8235;0,8824;0,8529;0,9412;0,8824;0,9412;0,8824;0,8824
MobileNet_Full_Gaussian;0,6857;0,7714;0,7647;0,6471;0,7353;0,7941;0,6471;0,8235;0,6765;0,8235
DenseNet121_Full_J48;0,7714;0,8;0,7059;0,7647;0,7353;0,8235;0,8235;0,7647;0,7059;0,7941
DenseNet121_Full_RBF;0,8571;0,9143;0,9118;0,7941;0,9118;0,9706;0,8824;0,9412;0,9412;0,9118
DenseNet121_Full_LinearSVM;0,9143;0,8571;0,9706;0,8824;0,9118;0,9706;0,9706;0,8824;0,9706;0,9118
DenseNet121_Full_MLP;0,8286;0,8571;0,9706;0,7941;0,9706;0,9118;0,9412;0,9706;0,9412;0,9118
DenseNet121_Full_Logistic;0,8857;0,8286;0,9412;0,8529;0,9118;0,9706;0,9706;0,8824;0,9706;0,9118
DenseNet121_Full_RandomForest;0,7714;0,8571;0,9412;0,8235;0,9118;0,8529;0,9412;0,9706;0,9118;0,9412
DenseNet121_Full_Adaboost;0,8571;0,7714;0,8529;0,8824;0,9118;0,8824;0,9118;0,9118;0,9706;0,9118
DenseNet121_Full_Gaussian;0,8286;0,7714;0,9412;0,7647;0,7941;0,8529;0,8235;0,8824;0,8824;0,8824
DenseNet169_Full_J48;0,7714;0,7429;0,7647;0,7647;0,6176;0,7647;0,7941;0,8235;0,7353;0,7059
DenseNet169_Full_RBF;0,9429;0,9429;0,9118;0,8235;0,8824;0,8824;0,8235;0,9118;0,9706;0,9118
DenseNet169_Full_LinearSVM;0,9714;0,8286;0,9706;0,8529;0,8824;0,9118;0,8824;0,9118;0,9412;0,9412
DenseNet169_Full_MLP;0,9143;0,9429;0,9412;0,8824;0,8824;0,9118;0,8824;0,8529;0,9412;0,9118
DenseNet169_Full_Logistic;0,9714;0,8286;0,9412;0,8529;0,8529;0,9118;0,8824;0,9412;0,9706;0,9412
DenseNet169_Full_RandomForest;0,9143;0,9429;0,9118;0,8529;0,8529;0,9706;0,8529;0,8824;0,8529;0,9118
DenseNet169_Full_Adaboost;0,8857;0,8857;0,8529;0,8529;0,8824;0,8824;0,8824;0,9118;0,9706;0,9118
DenseNet169_Full_Gaussian;0,7429;0,8857;0,7647;0,7353;0,7647;0,8824;0,8235;0,8824;0,9118;0,8529
DenseNet201_Full_J48;0,7714;0,7143;0,7647;0,6765;0,7647;0,7941;0,7647;0,8235;0,8529;0,8235
DenseNet201_Full_RBF;0,7714;0,9143;0,8824;0,7941;0,9118;0,9412;0,8529;0,9118;0,9412;0,9412
DenseNet201_Full_LinearSVM;0,8286;0,8857;0,9706;0,8824;0,9706;0,9118;0,8824;0,9118;0,9706;0,9706
DenseNet201_Full_MLP;0,8571;0,8571;0,9412;0,8529;0,8824;0,8529;0,8824;0,9706;0,9706;0,9706
DenseNet201_Full_Logistic;0,8;0,9429;0,9706;0,8235;0,9706;0,9118;0,8824;0,9118;0,9706;0,9706
DenseNet201_Full_RandomForest;0,8;0,9143;0,9412;0,8824;0,8824;0,9118;0,9706;0,9412;0,9412;0,9412
DenseNet201_Full_Adaboost;0,8571;0,8857;0,9118;0,8529;0,9118;0,9118;0,8824;0,8824;0,9706;0,9412
DenseNet201_Full_Gaussian;0,8;0,9143;0,7941;0,7353;0,7941;0,8824;0,8529;0,9412;0,8824;0,9412
NASNetMobile_Full_J48;0,6857;0,6;0,8529;0,5882;0,5882;0,6471;0,5882;0,6471;0,6765;0,6471
NASNetMobile_Full_RBF;0,8857;0,6571;0,6471;0,6471;0,7353;0,6176;0,5882;0,7059;0,7353;0,7941
NASNetMobile_Full_LinearSVM;0,6857;0,6857;0,8529;0,7353;0,6176;0,6176;0,6765;0,7941;0,7059;0,7941
