Modelo;KFold01_Accuracy;KFold02_Accuracy;KFold03_Accuracy;KFold04_Accuracy;KFold05_Accuracy;KFold06_Accuracy;KFold07_Accuracy;KFold08_Accuracy;KFold09_Accuracy;KFold10_Accuracy
NASNetMobile_Full_MLP;0,8;0,6857;0,8529;0,7353;0,5;0,6471;0,5;0,5294;0,6471;0,5588
NASNetMobile_Full_Logistic;0,7429;0,6857;0,8824;0,7353;0,6765;0,6176;0,6471;0,7941;0,7647;0,8235
NASNetMobile_Full_RandomForest;0,8;0,7714;0,7647;0,7059;0,7059;0,6765;0,6471;0,6471;0,7353;0,8235
NASNetMobile_Full_Adaboost;0,7143;0,7429;0,7353;0,7353;0,7353;0,6765;0,6471;0,7059;0,5882;0,8235
NASNetMobile_Full_Gaussian;0,5429;0,6857;0,5294;0,6176;0,6765;0,5294;0,5;0,6765;0,7941;0,5882
MobileNetV2_Full_J48;0,6;0,7714;0,8235;0,7647;0,8235;0,8235;0,7059;0,8824;0,9118;0,7647
MobileNetV2_Full_RBF;0,8857;0,9143;0,9118;0,8235;0,9118;0,9118;0,8529;0,9706;0,9706;0,9118
MobileNetV2_Full_LinearSVM;0,9143;0,9429;1;0,8235;0,9706;0,9118;0,9706;0,9706;0,9412;0,9118
MobileNetV2_Full_MLP;0,8857;0,9714;0,9412;0,8235;0,9118;0,9118;0,9412;0,9412;0,9412;0,9118
MobileNetV2_Full_Logistic;0,9143;0,9143;1;0,8529;0,9412;0,9118;0,9706;0,9706;0,9412;0,9118
MobileNetV2_Full_RandomForest;0,8857;0,8286;0,9118;0,7353;0,9118;0,8824;0,8824;0,9706;0,9118;0,8529
MobileNetV2_Full_Adaboost;0,8571;0,8571;0,9706;0,9118;0,9118;0,9118;0,8529;0,9412;0,9118;0,8235
MobileNetV2_Full_Gaussian;0,7143;0,6857;0,7647;0,5882;0,7647;0,7353;0,5882;0,9118;0,5294;0,7059
EfficientNetB0_Full_J48;0,7429;0,6571;0,7647;0,6176;0,6765;0,5588;0,8235;0,7647;0,8235;0,8824
EfficientNetB0_Full_RBF;0,8;0,9143;0,8529;0,8824;0,8529;0,8824;0,8529;0,9118;0,9412;0,9118
EfficientNetB0_Full_LinearSVM;0,9143;0,8571;0,9118;0,9118;0,9118;0,9412;0,9118;0,9706;0,9412;0,9412
EfficientNetB0_Full_MLP;0,8571;0,9143;0,9412;0,8529;0,9412;0,8529;0,8529;0,9706;0,9118;0,9118
EfficientNetB0_Full_Logistic;0,8857;0,8571;0,9118;0,9118;0,9118;0,9412;0,9118;0,9706;0,9412;0,9118
EfficientNetB0_Full_RandomForest;0,8857;0,8857;0,8529;0,8824;0,9118;0,9118;0,8824;0,9118;0,9118;0,9118
EfficientNetB0_Full_Adaboost;0,8857;0,7429;0,8235;0,8824;0,9706;0,8824;0,9412;0,8235;0,8824;0,7941
EfficientNetB0_Full_Gaussian;0,8286;0,8571;0,8235;0,7353;0,7059;0,8235;0,7059;0,8235;0,9118;0,7941
EfficientNetB1_Full_J48;0,8;0,8;0,7353;0,8529;0,7353;0,6471;0,6765;0,7941;0,7059;0,8235
EfficientNetB1_Full_RBF;0,8571;0,9429;0,9118;0,7941;0,9412;0,9412;0,8824;0,9118;0,9412;0,8824
EfficientNetB1_Full_LinearSVM;0,9143;0,9143;0,9412;0,8529;0,9412;0,9706;0,9412;0,9118;0,9706;0,9118
EfficientNetB1_Full_MLP;0,8857;0,9143;0,8824;0,7647;0,9706;0,9412;0,8824;0,9412;0,9412;0,8824
EfficientNetB1_Full_Logistic;0,9143;0,9143;0,9118;0,8235;0,9412;0,9706;0,9412;0,9118;0,9412;0,9118
EfficientNetB1_Full_RandomForest;0,9143;0,9143;0,8824;0,8235;0,8529;0,8824;0,9412;0,9118;0,9412;0,8824
EfficientNetB1_Full_Adaboost;0,8;0,9429;0,8235;0,8824;0,9706;0,9412;0,8824;1;0,9706;0,8529
EfficientNetB1_Full_Gaussian;0,8;0,8571;0,7941;0,7353;0,7647;0,8824;0,7647;0,9118;0,8824;0,8235
EfficientNetB2_Full_J48;0,6857;0,6571;0,6471;0,7647;0,7941;0,8529;0,6765;0,7941;0,7647;0,7941
EfficientNetB2_Full_RBF;0,8857;0,8857;0,8529;0,8235;0,9118;0,9118;0,8529;0,8529;0,9118;0,8824
EfficientNetB2_Full_LinearSVM;0,9143;0,9143;0,9706;0,8824;0,9706;0,9706;0,9412;0,9118;0,9412;0,9412
EfficientNetB2_Full_MLP;0,8286;0,8857;0,9118;0,7941;0,9412;0,8824;0,9118;0,8824;0,9118;0,8824
EfficientNetB2_Full_Logistic;0,9143;0,9143;0,9412;0,8529;0,9706;0,9706;0,9412;0,9118;0,9412;0,9118
EfficientNetB2_Full_RandomForest;0,8571;0,8571;0,8824;0,7647;0,8529;0,8529;0,8824;0,8824;0,9412;0,8235
EfficientNetB2_Full_Adaboost;0,8286;0,8857;0,7353;0,8529;0,8235;0,8824;0,8235;0,8529;0,9412;0,8529
EfficientNetB2_Full_Gaussian;0,8286;0,8;0,7647;0,7059;0,7647;0,7647;0,7941;0,8824;0,9118;0,7353
EfficientNetB3_Full_J48;0,7429;0,8;0,7647;0,7941;0,7353;0,7647;0,7941;0,8529;0,7353;0,7647
EfficientNetB3_Full_RBF;0,7714;0,9143;0,8529;0,8824;0,9412;0,9118;0,8529;0,9118;0,9706;0,8824
EfficientNetB3_Full_LinearSVM;0,9143;0,9429;0,9412;0,8824;0,9412;0,9412;0,9118;0,9412;0,9706;0,9118
EfficientNetB3_Full_MLP;0,8;0,9143;0,8824;0,8529;0,9412;0,9118;0,8529;0,9412;0,9412;0,9118
EfficientNetB3_Full_Logistic;0,8857;0,9429;0,9412;0,8824;0,9706;0,9412;0,8824;0,9412;0,9706;0,9118
EfficientNetB3_Full_RandomForest;0,8286;0,9143;0,9706;0,7647;0,9118;0,8824;0,8529;0,8824;0,9118;0,8529
EfficientNetB3_Full_Adaboost;0,8;0,8857;0,9118;0,8529;0,9412;0,7941;0,9118;0,8529;0,9118;0,8824
EfficientNetB3_Full_Gaussian;0,7714;0,8857;0,7941;0,7059;0,7059;0,8529;0,7647;0,8824;0,8824;0,7941
EfficientNetB4_Full_J48;0,6857;0,8857;0,8235;0,6765;0,7941;0,8529;0,6176;0,7059;0,8529;0,8529
EfficientNetB4_Full_RBF;0,7143;0,8857;0,9118;0,7647;0,9412;0,9118;0,8235;0,8824;0,9118;0,9412
EfficientNetB4_Full_LinearSVM;0,7714;0,9143;0,9412;0,7941;1;0,9412;0,9118;0,9118;0,9412;0,9412
EfficientNetB4_Full_MLP;0,8;0,8857;0,8824;0,7941;0,9706;0,9118;0,8824;0,9118;0,9706;0,9118
EfficientNetB4_Full_Logistic;0,8;0,9143;0,9412;0,7941;1;0,9412;0,9118;0,9118;0,9412;0,9412
EfficientNetB4_Full_RandomForest;0,8286;0,9143;0,9118;0,8235;0,8824;0,9118;0,8824;0,8824;0,8824;0,9412
EfficientNetB4_Full_Adaboost;0,8;0,8286;0,8824;0,7941;0,9118;0,8824;0,8529;0,8824;0,8824;0,7941
EfficientNetB4_Full_Gaussian;0,8286;0,7429;0,8529;0,7353;0,7941;0,8824;0,7353;0,9412;0,8235;0,8235
EfficientNetB5_Full_J48;0,7714;0,7714;0,9118;0,6765;0,7941;0,7941;0,8824;0,8529;0,8235;0,7647
EfficientNetB5_Full_RBF;0,8286;0,9714;0,9412;0,7647;0,9706;0,8235;0,8529;0,9412;0,9412;0,8824
EfficientNetB5_Full_LinearSVM;0,9143;0,9714;0,9412;0,8529;0,9706;0,8824;0,8824;0,9412;0,9412;0,8529
EfficientNetB5_Full_MLP;0,8857;0,9143;0,9118;0,9118;0,9706;0,9118;0,9118;0,8824;0,9118;0,9118
EfficientNetB5_Full_Logistic;0,9143;0,9714;0,9412;0,8529;0,9706;0,8529;0,8824;0,9412;0,9412;0,8529
EfficientNetB5_Full_RandomForest;0,9143;0,9143;0,9118;0,8235;0,9118;0,8824;0,9118;0,9412;0,8529;0,8824
EfficientNetB5_Full_Adaboost;0,8286;0,9714;0,9706;0,8529;0,8824;0,8529;0,9706;0,8824;0,8824;0,8235
EfficientNetB5_Full_Gaussian;0,7714;0,8;0,8529;0,7059;0,7059;0,8235;0,7647;0,8529;0,8529;0,7647
EfficientNetB6_Full_J48;0,7143;0,7429;0,7353;0,7059;0,7941;0,6765;0,8529;0,7647;0,7941;0,6765
EfficientNetB6_Full_RBF;0,8;0,8857;0,8235;0,7353;0,9118;0,8824;0,7059;0,9706;0,8824;0,8529
EfficientNetB6_Full_LinearSVM;0,8286;0,8857;0,9706;0,8529;0,9706;0,8824;0,7941;0,9706;0,9412;0,9412
EfficientNetB6_Full_MLP;0,7429;0,8857;0,8529;0,7647;0,8529;0,8824;0,7941;0,9118;0,7647;0,8235
EfficientNetB6_Full_Logistic;0,8286;0,9143;0,9706;0,8529;0,9706;0,8529;0,7941;0,9706;0,9706;0,9118
EfficientNetB6_Full_RandomForest;0,8286;0,8286;0,9412;0,7353;0,9412;0,8824;0,8235;0,9118;0,9118;0,8235
EfficientNetB6_Full_Adaboost;0,8286;0,8857;0,9706;0,7941;0,9706;0,8824;0,8824;0,9118;0,9706;0,8824
EfficientNetB6_Full_Gaussian;0,8;0,7143;0,8235;0,7647;0,7353;0,8529;0,7353;0,8824;0,8235;0,8235
EfficientNetB7_Full_J48;0,7714;0,7429;0,7059;0,7059;0,7647;0,6176;0,7941;0,8235;0,7353;0,7059
EfficientNetB7_Full_RBF;0,8286;0,9143;0,9412;0,7647;0,8824;0,9412;0,9118;0,9412;0,9412;0,8529
EfficientNetB7_Full_LinearSVM;0,9429;0,9143;0,9706;0,8235;0,8529;0,9412;0,8824;0,9412;0,9412;0,9118
EfficientNetB7_Full_MLP;0,8286;0,7714;0,9118;0,8235;0,9118;0,9118;0,8235;0,9412;0,9118;0,8824
EfficientNetB7_Full_Logistic;0,9429;0,9143;0,9412;0,7941;0,9118;0,9412;0,8824;0,9412;0,9412;0,9118
EfficientNetB7_Full_RandomForest;0,7429;0,9429;0,9412;0,8824;0,8529;0,8824;0,8824;0,9118;0,8824;0,8529
EfficientNetB7_Full_Adaboost;0,8286;0,8857;0,8529;0,8824;0,8235;0,8529;0,8824;0,9118;0,7941;0,9118
EfficientNetB7_Full_Gaussian;0,7714;0,7429;0,8529;0,7647;0,6765;0,9118;0,8529;0,8235;0,8824;0,8235
MobileNet+ResNet101_Full_J48;0,6857;0,7714;0,7647;0,7353;0,7647;0,7941;0,7941;0,8529;0,7059;0,7059
MobileNet+ResNet101_Full_RBF;0,8286;0,9143;0,9118;0,7941;0,9412;0,9118;0,9118;0,9412;0,9118;0,9118
MobileNet+ResNet101_Full_LinearSVM;0,8857;0,9143;0,9706;0,8529;0,9412;0,9412;0,9118;1;0,9412;0,9412
MobileNet+ResNet101_Full_MLP;0,8;0,6571;0,8824;0,4118;0,5;0,4706;0,5;0,4706;0,3529;0,4412
MobileNet+ResNet101_Full_Logistic;0,8857;0,9429;0,9706;0,8529;0,9118;0,9118;0,9118;1;0,9412;0,9412
MobileNet+ResNet101_Full_RandomForest;0,9143;0,8571;0,9118;0,8824;0,8824;0,9118;0,9412;0,9118;0,9412;0,8824
MobileNet+ResNet101_Full_Adaboost;0,7429;0,8;0,8824;0,8824;0,8824;0,7941;0,8824;0,8235;0,9412;0,8235
MobileNet+ResNet101_Full_Gaussian;0,7143;0,7714;0,7353;0,5588;0,6176;0,6471;0,7353;0,7941;0,7941;0,7647
ResNet101+DenseNet169_Full_J48;0,7429;0,6571;0,6765;0,7941;0,7941;0,6765;0,7059;0,8235;0,7647;0,7941
ResNet101+DenseNet169_Full_RBF;0,8286;0,9143;0,9118;0,7941;0,9118;0,9118;0,9118;0,9118;0,9118;0,9118
ResNet101+DenseNet169_Full_LinearSVM;0,8857;0,8857;0,9706;0,8824;0,9412;0,9118;0,9118;0,9706;0,9412;0,9118
ResNet101+DenseNet169_Full_MLP;0,8;0,9143;0,8529;0,8529;0,9118;0,9412;0,8824;0,9706;0,8529;0,8824
ResNet101+DenseNet169_Full_Logistic;0,8857;0,8857;0,9706;0,8824;0,9118;0,9118;0,9118;0,9706;0,9412;0,9412
ResNet101+DenseNet169_Full_RandomForest;0,8857;0,8857;0,8824;0,9118;0,9118;0,9118;0,8824;0,8824;0,9412;0,9118
ResNet101+DenseNet169_Full_Adaboost;0,9143;0,8286;0,8824;0,8824;0,8529;0,8824;0,8529;0,9118;0,9118;0,8529
ResNet101+DenseNet169_Full_Gaussian;0,6286;0,7714;0,7059;0,5294;0,5588;0,5;0,7353;0,6765;0,7647;0,7059
ResNet101+DenseNet121_Full_J48;0,6857;0,8286;0,7647;0,6765;0,6765;0,8529;0,8529;0,7353;0,6765;0,7353
ResNet101+DenseNet121_Full_RBF;0,8286;0,9143;0,9118;0,7941;0,9118;0,9118;0,9412;0,9412;0,9118;0,9118
ResNet101+DenseNet121_Full_LinearSVM;0,8571;0,8571;0,9706;0,8824;0,9412;0,9118;0,9412;0,9706;0,9412;0,9118
ResNet101+DenseNet121_Full_MLP;0,7429;0,8857;0,9412;0,8235;0,9118;0,9118;0,9118;0,9706;0,9118;0,9118
ResNet101+DenseNet121_Full_Logistic;0,8286;0,8571;0,9706;0,8824;0,9412;0,9118;0,9412;0,9706;0,9412;0,9118
ResNet101+DenseNet121_Full_RandomForest;0,8286;0,8571;0,9412;0,8529;0,8529;0,9412;0,9706;0,9118;0,9706;0,9412
ResNet101+DenseNet121_Full_Adaboost;0,7429;0,7714;0,8824;0,8529;0,8824;0,9412;0,9118;0,8824;0,8824;0,8235
ResNet101+DenseNet121_Full_Gaussian;0,6286;0,7429;0,7059;0,5294;0,5588;0,5;0,7353;0,6765;0,7647;0,7059
ResNet101+MobileNetV2_Full_J48;0,8;0,8;0,8824;0,7647;0,7353;0,7353;0,8529;0,7941;0,7647;0,7059
ResNet101+MobileNetV2_Full_RBF;0,8571;0,9143;0,9118;0,7941;0,9118;0,9118;0,8824;0,9412;0,9118;0,9118
ResNet101+MobileNetV2_Full_LinearSVM;0,9143;0,9143;0,9706;0,8824;0,9118;0,9118;0,9118;0,9706;0,9706;0,9706
ResNet101+MobileNetV2_Full_MLP;0,7714;0,9429;0,9706;0,7941;0,7647;0,9706;0,9706;0,9118;0,9412;0,9118
ResNet101+MobileNetV2_Full_Logistic;0,8857;0,9143;0,9706;0,8529;0,9412;0,9118;0,9118;0,9706;0,9412;0,9706
ResNet101+MobileNetV2_Full_RandomForest;0,7714;0,8857;0,8529;0,8235;0,8235;0,9118;0,9412;0,9412;0,9412;0,9412
ResNet101+MobileNetV2_Full_Adaboost;0,8857;0,8;0,8529;0,8529;0,8824;0,8235;0,9118;0,7941;0,9118;0,8824
ResNet101+MobileNetV2_Full_Gaussian;0,6857;0,7714;0,7353;0,6765;0,6176;0,5;0,7059;0,8235;0,7647;0,7353
EfficientNetB0+MobileNet_Full_J48;0,6857;0,6857;0,7059;0,5882;0,7059;0,6176;0,6471;0,7059;0,7941;0,8235
EfficientNetB0+MobileNet_Full_RBF;0,8857;0,9429;0,9412;0,8529;0,8824;0,9412;0,8529;0,9412;0,9412;0,9706
EfficientNetB0+MobileNet_Full_LinearSVM;0,8857;0,9429;0,9412;0,9118;0,9118;0,9706;0,9412;1;0,9412;0,9706
EfficientNetB0+MobileNet_Full_MLP;0,8571;0,9429;0,9118;0,8529;0,9412;0,9412;0,9118;0,9706;0,9118;0,9706
EfficientNetB0+MobileNet_Full_Logistic;0,8857;0,9429;0,9412;0,8824;0,9118;0,9706;0,9118;1;0,9412;0,9706
EfficientNetB0+MobileNet_Full_RandomForest;0,8857;0,8857;0,9118;0,8824;0,9118;0,8529;0,9118;0,8529;0,9118;0,9412
EfficientNetB0+MobileNet_Full_Adaboost;0,8286;0,8571;0,8824;0,8824;0,8235;0,8529;0,8235;0,9412;0,9118;0,8824
EfficientNetB0+MobileNet_Full_Gaussian;0,6857;0,7714;0,7647;0,6471;0,7353;0,7941;0,6471;0,8235;0,6765;0,8235
MobileNet+ResNet50_Full_J48;0,6857;0,8286;0,7059;0,8529;0,6176;0,7059;0,8529;0,8529;0,7941;0,6471
MobileNet+ResNet50_Full_RBF;0,9143;0,9714;0,8529;0,8235;0,9412;0,9118;0,8824;0,9412;0,9118;0,9118
MobileNet+ResNet50_Full_LinearSVM;0,8857;0,9714;0,9412;0,8529;0,9412;0,9412;0,9412;1;0,9412;0,9706
MobileNet+ResNet50_Full_MLP;0,8571;0,9429;0,9412;0,8529;0,9412;0,9706;0,5;0,8824;0,9412;0,9118
MobileNet+ResNet50_Full_Logistic;0,8857;0,9714;0,9118;0,8529;0,9412;0,9412;0,9118;1;0,9412;0,9706
MobileNet+ResNet50_Full_RandomForest;0,9143;0,8857;0,8235;0,8824;0,8824;0,8824;0,9118;0,9706;0,9412;0,9412
MobileNet+ResNet50_Full_Adaboost;0,8286;0,9429;0,9412;0,8824;0,8824;0,9118;0,9412;0,9118;0,9706;0,8529
MobileNet+ResNet50_Full_Gaussian;0,7143;0,8571;0,7647;0,5588;0,6176;0,7353;0,7059;0,7647;0,6765;0,7647
EfficientNetB1+EfficientNetB5_Full_J48;0,7143;0,8;0,8824;0,6765;0,7941;0,7647;0,8235;0,8235;0,7941;0,8824
EfficientNetB1+EfficientNetB5_Full_RBF;0,8286;0,9714;0,9118;0,7941;0,9412;0,8824;0,8824;0,9706;0,9412;0,8824
EfficientNetB1+EfficientNetB5_Full_LinearSVM;0,9143;0,9714;0,9412;0,8529;0,9706;0,9118;0,8824;0,9118;0,9412;0,8824
EfficientNetB1+EfficientNetB5_Full_MLP;0,8857;0,9714;0,9706;0,8235;0,9118;0,8824;0,8824;0,9118;0,9412;0,8235
EfficientNetB1+EfficientNetB5_Full_Logistic;0,9143;0,9714;0,9412;0,8529;0,9706;0,8824;0,8824;0,9118;0,9412;0,8824
EfficientNetB1+EfficientNetB5_Full_RandomForest;0,8571;0,9429;0,9706;0,8824;0,9412;0,8824;0,9412;0,8824;0,8824;0,8824
EfficientNetB1+EfficientNetB5_Full_Adaboost;0,8286;0,9143;0,9118;0,7941;0,9118;0,8529;1;0,9412;0,9118;0,8529
EfficientNetB1+EfficientNetB5_Full_Gaussian;0,7714;0,8;0,8529;0,7353;0,7353;0,8235;0,7647;0,8529;0,8824;0,7647
