ExtractionMethod;Reduction;Classification;Metodo;Fold;Components;ACC
DenseNet121;PCA;Logistic;DenseNet121_PCA_300_Logistic;1;300;0,9143
DenseNet121;PCA;Logistic;DenseNet121_PCA_300_Logistic;2;300;0,8286
DenseNet121;PCA;Logistic;DenseNet121_PCA_300_Logistic;3;300;0,9706
DenseNet121;PCA;Logistic;DenseNet121_PCA_300_Logistic;4;300;0,8824
DenseNet121;PCA;Logistic;DenseNet121_PCA_300_Logistic;5;300;0,9412
DenseNet121;PCA;Logistic;DenseNet121_PCA_300_Logistic;6;300;0,9412
DenseNet121;PCA;Logistic;DenseNet121_PCA_300_Logistic;7;300;0,9706
DenseNet121;PCA;Logistic;DenseNet121_PCA_300_Logistic;8;300;0,8824
DenseNet121;PCA;Logistic;DenseNet121_PCA_300_Logistic;9;300;0,9706
DenseNet121;PCA;Logistic;DenseNet121_PCA_300_Logistic;10;300;0,9118
DenseNet169;PCA;RBF;DenseNet169_PCA_50_RBF;1;50;0,9714
DenseNet169;PCA;RBF;DenseNet169_PCA_50_RBF;2;50;0,9429
DenseNet169;PCA;RBF;DenseNet169_PCA_50_RBF;3;50;0,8824
DenseNet169;PCA;RBF;DenseNet169_PCA_50_RBF;4;50;0,8529
DenseNet169;PCA;RBF;DenseNet169_PCA_50_RBF;5;50;0,9706
DenseNet169;PCA;RBF;DenseNet169_PCA_50_RBF;6;50;0,9118
DenseNet169;PCA;RBF;DenseNet169_PCA_50_RBF;7;50;0,8824
DenseNet169;PCA;RBF;DenseNet169_PCA_50_RBF;8;50;0,9412
DenseNet169;PCA;RBF;DenseNet169_PCA_50_RBF;9;50;0,9118
DenseNet169;PCA;RBF;DenseNet169_PCA_50_RBF;10;50;0,9118
DenseNet201;PCA;Logistic;DenseNet201_PCA_300_Logistic;1;300;0,8857
DenseNet201;PCA;Logistic;DenseNet201_PCA_300_Logistic;2;300;0,9143
DenseNet201;PCA;Logistic;DenseNet201_PCA_300_Logistic;3;300;0,9706
DenseNet201;PCA;Logistic;DenseNet201_PCA_300_Logistic;4;300;0,8529
DenseNet201;PCA;Logistic;DenseNet201_PCA_300_Logistic;5;300;0,9412
DenseNet201;PCA;Logistic;DenseNet201_PCA_300_Logistic;6;300;0,8824
DenseNet201;PCA;Logistic;DenseNet201_PCA_300_Logistic;7;300;0,8824
DenseNet201;PCA;Logistic;DenseNet201_PCA_300_Logistic;8;300;0,9412
DenseNet201;PCA;Logistic;DenseNet201_PCA_300_Logistic;9;300;0,9706
DenseNet201;PCA;Logistic;DenseNet201_PCA_300_Logistic;10;300;0,9412
EfficientNetB0;PCA;Logistic;EfficientNetB0_PCA_300_Logistic;1;300;0,9429
EfficientNetB0;PCA;Logistic;EfficientNetB0_PCA_300_Logistic;2;300;0,8286
EfficientNetB0;PCA;Logistic;EfficientNetB0_PCA_300_Logistic;3;300;0,9412
EfficientNetB0;PCA;Logistic;EfficientNetB0_PCA_300_Logistic;4;300;0,9118
EfficientNetB0;PCA;Logistic;EfficientNetB0_PCA_300_Logistic;5;300;0,9118
EfficientNetB0;PCA;Logistic;EfficientNetB0_PCA_300_Logistic;6;300;0,9412
EfficientNetB0;PCA;Logistic;EfficientNetB0_PCA_300_Logistic;7;300;0,9118
EfficientNetB0;PCA;Logistic;EfficientNetB0_PCA_300_Logistic;8;300;0,9706
EfficientNetB0;PCA;Logistic;EfficientNetB0_PCA_300_Logistic;9;300;0,9412
EfficientNetB0;PCA;Logistic;EfficientNetB0_PCA_300_Logistic;10;300;0,9118
EfficientNetB1;PCA;LinearSVM;EfficientNetB1_PCA_300_LinearSVM;1;300;0,9429
EfficientNetB1;PCA;LinearSVM;EfficientNetB1_PCA_300_LinearSVM;2;300;0,9429
EfficientNetB1;PCA;LinearSVM;EfficientNetB1_PCA_300_LinearSVM;3;300;0,9706
EfficientNetB1;PCA;LinearSVM;EfficientNetB1_PCA_300_LinearSVM;4;300;0,8529
EfficientNetB1;PCA;LinearSVM;EfficientNetB1_PCA_300_LinearSVM;5;300;0,9412
EfficientNetB1;PCA;LinearSVM;EfficientNetB1_PCA_300_LinearSVM;6;300;0,9412
EfficientNetB1;PCA;LinearSVM;EfficientNetB1_PCA_300_LinearSVM;7;300;0,9412
EfficientNetB1;PCA;LinearSVM;EfficientNetB1_PCA_300_LinearSVM;8;300;0,9412
EfficientNetB1;PCA;LinearSVM;EfficientNetB1_PCA_300_LinearSVM;9;300;0,9412
EfficientNetB1;PCA;LinearSVM;EfficientNetB1_PCA_300_LinearSVM;10;300;0,9118
EfficientNetB2;PCA;Logistic;EfficientNetB2_PCA_250_Logistic;1;250;0,9714
EfficientNetB2;PCA;Logistic;EfficientNetB2_PCA_250_Logistic;2;250;0,9429
EfficientNetB2;PCA;Logistic;EfficientNetB2_PCA_250_Logistic;3;250;0,9706
EfficientNetB2;PCA;Logistic;EfficientNetB2_PCA_250_Logistic;4;250;0,8529
EfficientNetB2;PCA;Logistic;EfficientNetB2_PCA_250_Logistic;5;250;0,8824
EfficientNetB2;PCA;Logistic;EfficientNetB2_PCA_250_Logistic;6;250;0,9706
EfficientNetB2;PCA;Logistic;EfficientNetB2_PCA_250_Logistic;7;250;0,9412
EfficientNetB2;PCA;Logistic;EfficientNetB2_PCA_250_Logistic;8;250;0,8824
EfficientNetB2;PCA;Logistic;EfficientNetB2_PCA_250_Logistic;9;250;0,9412
EfficientNetB2;PCA;Logistic;EfficientNetB2_PCA_250_Logistic;10;250;0,9412
EfficientNetB3;PCA;Logistic;EfficientNetB3_PCA_250_Logistic;1;250;0,9429
EfficientNetB3;PCA;Logistic;EfficientNetB3_PCA_250_Logistic;2;250;0,9429
EfficientNetB3;PCA;Logistic;EfficientNetB3_PCA_250_Logistic;3;250;0,9118
EfficientNetB3;PCA;Logistic;EfficientNetB3_PCA_250_Logistic;4;250;0,8824
EfficientNetB3;PCA;Logistic;EfficientNetB3_PCA_250_Logistic;5;250;0,9118
EfficientNetB3;PCA;Logistic;EfficientNetB3_PCA_250_Logistic;6;250;0,9412
EfficientNetB3;PCA;Logistic;EfficientNetB3_PCA_250_Logistic;7;250;0,9118
EfficientNetB3;PCA;Logistic;EfficientNetB3_PCA_250_Logistic;8;250;0,9118
EfficientNetB3;PCA;Logistic;EfficientNetB3_PCA_250_Logistic;9;250;0,9706
EfficientNetB3;PCA;Logistic;EfficientNetB3_PCA_250_Logistic;10;250;0,9118
EfficientNetB4;PCA;Logistic;EfficientNetB4_PCA_300_Logistic;1;300;0,7714
EfficientNetB4;PCA;Logistic;EfficientNetB4_PCA_300_Logistic;2;300;0,8857
EfficientNetB4;PCA;Logistic;EfficientNetB4_PCA_300_Logistic;3;300;0,9118
EfficientNetB4;PCA;Logistic;EfficientNetB4_PCA_300_Logistic;4;300;0,8235
EfficientNetB4;PCA;Logistic;EfficientNetB4_PCA_300_Logistic;5;300;0,9706
EfficientNetB4;PCA;Logistic;EfficientNetB4_PCA_300_Logistic;6;300;0,9412
EfficientNetB4;PCA;Logistic;EfficientNetB4_PCA_300_Logistic;7;300;0,8824
EfficientNetB4;PCA;Logistic;EfficientNetB4_PCA_300_Logistic;8;300;0,9412
EfficientNetB4;PCA;Logistic;EfficientNetB4_PCA_300_Logistic;9;300;0,9118
EfficientNetB4;PCA;Logistic;EfficientNetB4_PCA_300_Logistic;10;300;0,9412
EfficientNetB5;PCA;Logistic;EfficientNetB5_PCA_300_Logistic;1;300;0,8571
EfficientNetB5;PCA;Logistic;EfficientNetB5_PCA_300_Logistic;2;300;0,9714
EfficientNetB5;PCA;Logistic;EfficientNetB5_PCA_300_Logistic;3;300;0,9412
EfficientNetB5;PCA;Logistic;EfficientNetB5_PCA_300_Logistic;4;300;0,9118
EfficientNetB5;PCA;Logistic;EfficientNetB5_PCA_300_Logistic;5;300;0,9412
EfficientNetB5;PCA;Logistic;EfficientNetB5_PCA_300_Logistic;6;300;0,8824
EfficientNetB5;PCA;Logistic;EfficientNetB5_PCA_300_Logistic;7;300;0,9118
EfficientNetB5;PCA;Logistic;EfficientNetB5_PCA_300_Logistic;8;300;0,9118
EfficientNetB5;PCA;Logistic;EfficientNetB5_PCA_300_Logistic;9;300;0,9412
EfficientNetB5;PCA;Logistic;EfficientNetB5_PCA_300_Logistic;10;300;0,8529
EfficientNetB6;PCA;Logistic;EfficientNetB6_PCA_300_Logistic;1;300;0,8286
EfficientNetB6;PCA;Logistic;EfficientNetB6_PCA_300_Logistic;2;300;0,9143
EfficientNetB6;PCA;Logistic;EfficientNetB6_PCA_300_Logistic;3;300;0,9412
EfficientNetB6;PCA;Logistic;EfficientNetB6_PCA_300_Logistic;4;300;0,7941
EfficientNetB6;PCA;Logistic;EfficientNetB6_PCA_300_Logistic;5;300;0,9118
EfficientNetB6;PCA;Logistic;EfficientNetB6_PCA_300_Logistic;6;300;0,8529
EfficientNetB6;PCA;Logistic;EfficientNetB6_PCA_300_Logistic;7;300;0,8235
EfficientNetB6;PCA;Logistic;EfficientNetB6_PCA_300_Logistic;8;300;0,9118
EfficientNetB6;PCA;Logistic;EfficientNetB6_PCA_300_Logistic;9;300;0,9412
EfficientNetB6;PCA;Logistic;EfficientNetB6_PCA_300_Logistic;10;300;0,9118
EfficientNetB7;PCA;RBF;EfficientNetB7_PCA_100_RBF;1;100;0,8286
EfficientNetB7;PCA;RBF;EfficientNetB7_PCA_100_RBF;2;100;0,9143
EfficientNetB7;PCA;RBF;EfficientNetB7_PCA_100_RBF;3;100;0,9118
EfficientNetB7;PCA;RBF;EfficientNetB7_PCA_100_RBF;4;100;0,7941
EfficientNetB7;PCA;RBF;EfficientNetB7_PCA_100_RBF;5;100;0,8824
EfficientNetB7;PCA;RBF;EfficientNetB7_PCA_100_RBF;6;100;0,9118
EfficientNetB7;PCA;RBF;EfficientNetB7_PCA_100_RBF;7;100;0,9412
EfficientNetB7;PCA;RBF;EfficientNetB7_PCA_100_RBF;8;100;0,9412
EfficientNetB7;PCA;RBF;EfficientNetB7_PCA_100_RBF;9;100;0,9412
EfficientNetB7;PCA;RBF;EfficientNetB7_PCA_100_RBF;10;100;0,8824
InceptionResNetV2;PCA;RBF;InceptionResNetV2_PCA_300_RBF;1;300;0,8286
InceptionResNetV2;PCA;RBF;InceptionResNetV2_PCA_300_RBF;2;300;0,9714
InceptionResNetV2;PCA;RBF;InceptionResNetV2_PCA_300_RBF;3;300;0,8529
InceptionResNetV2;PCA;RBF;InceptionResNetV2_PCA_300_RBF;4;300;0,8235
InceptionResNetV2;PCA;RBF;InceptionResNetV2_PCA_300_RBF;5;300;0,8529
InceptionResNetV2;PCA;RBF;InceptionResNetV2_PCA_300_RBF;6;300;0,9412
InceptionResNetV2;PCA;RBF;InceptionResNetV2_PCA_300_RBF;7;300;0,8529
InceptionResNetV2;PCA;RBF;InceptionResNetV2_PCA_300_RBF;8;300;0,9118
InceptionResNetV2;PCA;RBF;InceptionResNetV2_PCA_300_RBF;9;300;0,8824
InceptionResNetV2;PCA;RBF;InceptionResNetV2_PCA_300_RBF;10;300;0,9412
InceptionV3;PCA;RBF;InceptionV3_PCA_100_RBF;1;100;0,8571
InceptionV3;PCA;RBF;InceptionV3_PCA_100_RBF;2;100;0,9714
InceptionV3;PCA;RBF;InceptionV3_PCA_100_RBF;3;100;0,9412
InceptionV3;PCA;RBF;InceptionV3_PCA_100_RBF;4;100;0,8529
InceptionV3;PCA;RBF;InceptionV3_PCA_100_RBF;5;100;0,9118
InceptionV3;PCA;RBF;InceptionV3_PCA_100_RBF;6;100;0,9118
InceptionV3;PCA;RBF;InceptionV3_PCA_100_RBF;7;100;0,8529
InceptionV3;PCA;RBF;InceptionV3_PCA_100_RBF;8;100;0,9412
InceptionV3;PCA;RBF;InceptionV3_PCA_100_RBF;9;100;0,8824
InceptionV3;PCA;RBF;InceptionV3_PCA_100_RBF;10;100;0,9412
MobileNet;PCA;RBF;MobileNet_PCA_40_RBF;1;40;0,9429
MobileNet;PCA;RBF;MobileNet_PCA_40_RBF;2;40;0,9429
MobileNet;PCA;RBF;MobileNet_PCA_40_RBF;3;40;0,9412
MobileNet;PCA;RBF;MobileNet_PCA_40_RBF;4;40;0,8529
MobileNet;PCA;RBF;MobileNet_PCA_40_RBF;5;40;0,9118
MobileNet;PCA;RBF;MobileNet_PCA_40_RBF;6;40;0,9706
MobileNet;PCA;RBF;MobileNet_PCA_40_RBF;7;40;0,9118
MobileNet;PCA;RBF;MobileNet_PCA_40_RBF;8;40;0,9706
MobileNet;PCA;RBF;MobileNet_PCA_40_RBF;9;40;0,9412
MobileNet;PCA;RBF;MobileNet_PCA_40_RBF;10;40;1
MobileNetV2;PCA;RBF;MobileNetV2_PCA_40_RBF;1;40;0,9429
MobileNetV2;PCA;RBF;MobileNetV2_PCA_40_RBF;2;40;0,9429
MobileNetV2;PCA;RBF;MobileNetV2_PCA_40_RBF;3;40;0,9412
MobileNetV2;PCA;RBF;MobileNetV2_PCA_40_RBF;4;40;0,8529
MobileNetV2;PCA;RBF;MobileNetV2_PCA_40_RBF;5;40;0,9118
MobileNetV2;PCA;RBF;MobileNetV2_PCA_40_RBF;6;40;0,9118
MobileNetV2;PCA;RBF;MobileNetV2_PCA_40_RBF;7;40;0,9118
MobileNetV2;PCA;RBF;MobileNetV2_PCA_40_RBF;8;40;0,9706
MobileNetV2;PCA;RBF;MobileNetV2_PCA_40_RBF;9;40;0,9706
MobileNetV2;PCA;RBF;MobileNetV2_PCA_40_RBF;10;40;0,9412
NASNetMobile;PCA;RBF;NASNetMobile_PCA_100_RBF;1;100;0,8286
NASNetMobile;PCA;RBF;NASNetMobile_PCA_100_RBF;2;100;0,7714
NASNetMobile;PCA;RBF;NASNetMobile_PCA_100_RBF;3;100;0,8529
NASNetMobile;PCA;RBF;NASNetMobile_PCA_100_RBF;4;100;0,8235
NASNetMobile;PCA;RBF;NASNetMobile_PCA_100_RBF;5;100;0,8529
NASNetMobile;PCA;RBF;NASNetMobile_PCA_100_RBF;6;100;0,8529
NASNetMobile;PCA;RBF;NASNetMobile_PCA_100_RBF;7;100;0,8235
NASNetMobile;PCA;RBF;NASNetMobile_PCA_100_RBF;8;100;0,8824
NASNetMobile;PCA;RBF;NASNetMobile_PCA_100_RBF;9;100;0,8824
NASNetMobile;PCA;RBF;NASNetMobile_PCA_100_RBF;10;100;0,8235
ResNet101;PCA;Logistic;ResNet101_PCA_300_Logistic;1;300;0,8857
ResNet101;PCA;Logistic;ResNet101_PCA_300_Logistic;2;300;0,8286
ResNet101;PCA;Logistic;ResNet101_PCA_300_Logistic;3;300;0,9118
ResNet101;PCA;Logistic;ResNet101_PCA_300_Logistic;4;300;0,9118
ResNet101;PCA;Logistic;ResNet101_PCA_300_Logistic;5;300;0,9118
ResNet101;PCA;Logistic;ResNet101_PCA_300_Logistic;6;300;0,9118
ResNet101;PCA;Logistic;ResNet101_PCA_300_Logistic;7;300;0,9706
ResNet101;PCA;Logistic;ResNet101_PCA_300_Logistic;8;300;0,9412
ResNet101;PCA;Logistic;ResNet101_PCA_300_Logistic;9;300;0,9412
ResNet101;PCA;Logistic;ResNet101_PCA_300_Logistic;10;300;0,9412
ResNet101V2;PCA;LinearSVM;ResNet101V2_PCA_30_LinearSVM;1;30;0,9429
ResNet101V2;PCA;LinearSVM;ResNet101V2_PCA_30_LinearSVM;2;30;0,8857
ResNet101V2;PCA;LinearSVM;ResNet101V2_PCA_30_LinearSVM;3;30;0,8824
ResNet101V2;PCA;LinearSVM;ResNet101V2_PCA_30_LinearSVM;4;30;0,9118
ResNet101V2;PCA;LinearSVM;ResNet101V2_PCA_30_LinearSVM;5;30;0,9118
ResNet101V2;PCA;LinearSVM;ResNet101V2_PCA_30_LinearSVM;6;30;0,8824
ResNet101V2;PCA;LinearSVM;ResNet101V2_PCA_30_LinearSVM;7;30;0,9706
ResNet101V2;PCA;LinearSVM;ResNet101V2_PCA_30_LinearSVM;8;30;0,9118
ResNet101V2;PCA;LinearSVM;ResNet101V2_PCA_30_LinearSVM;9;30;0,9706
ResNet101V2;PCA;LinearSVM;ResNet101V2_PCA_30_LinearSVM;10;30;0,9706
ResNet152;PCA;Logistic;ResNet152_PCA_40_Logistic;1;40;0,8857
ResNet152;PCA;Logistic;ResNet152_PCA_40_Logistic;2;40;0,8286
ResNet152;PCA;Logistic;ResNet152_PCA_40_Logistic;3;40;0,9412
ResNet152;PCA;Logistic;ResNet152_PCA_40_Logistic;4;40;0,8529
ResNet152;PCA;Logistic;ResNet152_PCA_40_Logistic;5;40;0,9118
ResNet152;PCA;Logistic;ResNet152_PCA_40_Logistic;6;40;0,8824
ResNet152;PCA;Logistic;ResNet152_PCA_40_Logistic;7;40;0,9412
ResNet152;PCA;Logistic;ResNet152_PCA_40_Logistic;8;40;0,8824
ResNet152;PCA;Logistic;ResNet152_PCA_40_Logistic;9;40;0,9412
ResNet152;PCA;Logistic;ResNet152_PCA_40_Logistic;10;40;0,9706
ResNet152V2;PCA;RBF;ResNet152V2_PCA_100_RBF;1;100;0,9143
ResNet152V2;PCA;RBF;ResNet152V2_PCA_100_RBF;2;100;0,9429
ResNet152V2;PCA;RBF;ResNet152V2_PCA_100_RBF;3;100;0,9412
ResNet152V2;PCA;RBF;ResNet152V2_PCA_100_RBF;4;100;0,8529
ResNet152V2;PCA;RBF;ResNet152V2_PCA_100_RBF;5;100;0,9118
ResNet152V2;PCA;RBF;ResNet152V2_PCA_100_RBF;6;100;0,8529
ResNet152V2;PCA;RBF;ResNet152V2_PCA_100_RBF;7;100;0,8824
ResNet152V2;PCA;RBF;ResNet152V2_PCA_100_RBF;8;100;0,9412
ResNet152V2;PCA;RBF;ResNet152V2_PCA_100_RBF;9;100;0,9412
ResNet152V2;PCA;RBF;ResNet152V2_PCA_100_RBF;10;100;0,9412
ResNet50;PCA;LinearSVM;ResNet50_PCA_250_LinearSVM;1;250;0,9143
ResNet50;PCA;LinearSVM;ResNet50_PCA_250_LinearSVM;2;250;0,8857
ResNet50;PCA;LinearSVM;ResNet50_PCA_250_LinearSVM;3;250;0,9118
ResNet50;PCA;LinearSVM;ResNet50_PCA_250_LinearSVM;4;250;0,9118
ResNet50;PCA;LinearSVM;ResNet50_PCA_250_LinearSVM;5;250;0,9118
ResNet50;PCA;LinearSVM;ResNet50_PCA_250_LinearSVM;6;250;0,8824
ResNet50;PCA;LinearSVM;ResNet50_PCA_250_LinearSVM;7;250;0,8824
ResNet50;PCA;LinearSVM;ResNet50_PCA_250_LinearSVM;8;250;0,9706
ResNet50;PCA;LinearSVM;ResNet50_PCA_250_LinearSVM;9;250;0,9118
ResNet50;PCA;LinearSVM;ResNet50_PCA_250_LinearSVM;10;250;0,9412
ResNet50V2;PCA;RBF;ResNet50V2_PCA_30_RBF;1;30;0,8571
ResNet50V2;PCA;RBF;ResNet50V2_PCA_30_RBF;2;30;0,8571
ResNet50V2;PCA;RBF;ResNet50V2_PCA_30_RBF;3;30;0,8824
ResNet50V2;PCA;RBF;ResNet50V2_PCA_30_RBF;4;30;0,8235
ResNet50V2;PCA;RBF;ResNet50V2_PCA_30_RBF;5;30;0,9118
ResNet50V2;PCA;RBF;ResNet50V2_PCA_30_RBF;6;30;0,9412
ResNet50V2;PCA;RBF;ResNet50V2_PCA_30_RBF;7;30;0,9412
ResNet50V2;PCA;RBF;ResNet50V2_PCA_30_RBF;8;30;0,9118
ResNet50V2;PCA;RBF;ResNet50V2_PCA_30_RBF;9;30;0,9118
ResNet50V2;PCA;RBF;ResNet50V2_PCA_30_RBF;10;30;0,9118
VGG16;PCA;LinearSVM;VGG16_PCA_20_LinearSVM;1;20;0,7714
VGG16;PCA;LinearSVM;VGG16_PCA_20_LinearSVM;2;20;0,9143
VGG16;PCA;LinearSVM;VGG16_PCA_20_LinearSVM;3;20;0,9412
VGG16;PCA;LinearSVM;VGG16_PCA_20_LinearSVM;4;20;0,8529
VGG16;PCA;LinearSVM;VGG16_PCA_20_LinearSVM;5;20;0,8824
VGG16;PCA;LinearSVM;VGG16_PCA_20_LinearSVM;6;20;0,9118
VGG16;PCA;LinearSVM;VGG16_PCA_20_LinearSVM;7;20;0,7941
VGG16;PCA;LinearSVM;VGG16_PCA_20_LinearSVM;8;20;0,9706
VGG16;PCA;LinearSVM;VGG16_PCA_20_LinearSVM;9;20;0,9706
VGG16;PCA;LinearSVM;VGG16_PCA_20_LinearSVM;10;20;0,9118
VGG19;ReliefF;Logistic;VGG19_ReliefF_300_Logistic;1;300;0,8
VGG19;ReliefF;Logistic;VGG19_ReliefF_300_Logistic;2;300;0,8286
VGG19;ReliefF;Logistic;VGG19_ReliefF_300_Logistic;3;300;0,8824
VGG19;ReliefF;Logistic;VGG19_ReliefF_300_Logistic;4;300;0,8824
VGG19;ReliefF;Logistic;VGG19_ReliefF_300_Logistic;5;300;0,7941
VGG19;ReliefF;Logistic;VGG19_ReliefF_300_Logistic;6;300;0,8529
VGG19;ReliefF;Logistic;VGG19_ReliefF_300_Logistic;7;300;0,8824
VGG19;ReliefF;Logistic;VGG19_ReliefF_300_Logistic;8;300;0,9412
VGG19;ReliefF;Logistic;VGG19_ReliefF_300_Logistic;9;300;1
VGG19;ReliefF;Logistic;VGG19_ReliefF_300_Logistic;10;300;0,9412
Xception;PCA;Logistic;Xception_PCA_300_Logistic;1;300;0,8571
Xception;PCA;Logistic;Xception_PCA_300_Logistic;2;300;0,8571
Xception;PCA;Logistic;Xception_PCA_300_Logistic;3;300;0,8824
Xception;PCA;Logistic;Xception_PCA_300_Logistic;4;300;0,9118
Xception;PCA;Logistic;Xception_PCA_300_Logistic;5;300;0,8824
Xception;PCA;Logistic;Xception_PCA_300_Logistic;6;300;0,9412
Xception;PCA;Logistic;Xception_PCA_300_Logistic;7;300;0,8824
Xception;PCA;Logistic;Xception_PCA_300_Logistic;8;300;0,9412
Xception;PCA;Logistic;Xception_PCA_300_Logistic;9;300;0,8529
Xception;PCA;Logistic;Xception_PCA_300_Logistic;10;300;0,8824
