method,cnn,reduction,classifier,features,F002,F010,F020,F030,F040,F050,F075,F100,F150,F200,F250,F300,Full,Mean,Sd,MedianQ2,Q1_25%,Q3_75%,Max,Min 
EfficientNetB1+EfficientNetB5_n_feat_PCA_PCC,EfficientNetB1+EfficientNetB5_n_feat,PCA,PCC,542720.0,78.2773,82.6471,81.1765,82.3529,79.4118,80.8824,82.3529,80.8824,79.4118,85.2941,82.3529,82.3529,84.7983,81.5091,6.4782,82.3529,76.9748,85.7143,97.0588,64.7059
EfficientNetB1+EfficientNetB5_n_feat_PCA_J48,EfficientNetB1+EfficientNetB5_n_feat,PCA,J48,542720.0,76.8487,76.8067,79.7479,84.0756,79.7479,77.1429,78.2773,80.8824,79.4118,79.4118,76.4706,81.1765,79.5546,79.0777,6.7597,79.4118,76.4706,82.4789,94.1176,58.8235
EfficientNetB1+EfficientNetB5_n_feat_PCA_RBF,EfficientNetB1+EfficientNetB5_n_feat,PCA,RBF,542720.0,79.7059,83.8235,85.2941,84.0756,83.8235,86.7647,86.9748,88.2353,88.4454,89.7059,89.8740,91.1765,90.0588,86.6702,5.9615,85.2941,82.3529,91.1765,97.1429,73.5294
EfficientNetB1+EfficientNetB5_n_feat_PCA_LinearSVM,EfficientNetB1+EfficientNetB5_n_feat,PCA,LinearSVM,542720.0,80.8824,85.7143,86.9748,85.2941,86.7647,83.8235,82.6050,80.8824,89.7059,91.1765,92.7731,91.1765,91.7983,86.3032,6.0198,85.7143,82.3529,91.1765,97.1429,73.5294
EfficientNetB1+EfficientNetB5_n_feat_PCA_MLP,EfficientNetB1+EfficientNetB5_n_feat,PCA,MLP,542720.0,79.7059,82.6471,85.2941,82.3529,86.7647,86.9748,83.8235,86.9327,80.8824,82.3529,82.6050,83.8235,90.0420,82.7871,5.9707,82.3529,79.4118,88.2353,97.0588,64.7059
EfficientNetB1+EfficientNetB5_n_feat_PCA_Logistic,EfficientNetB1+EfficientNetB5_n_feat,PCA,Logistic,542720.0,78.2773,86.9748,88.2353,86.9748,85.2941,86.7647,82.3529,83.8235,86.9748,91.3025,94.1176,92.7731,91.5042,86.5245,6.0083,88.2353,82.3529,91.1765,97.1429,68.5714
EfficientNetB1+EfficientNetB5_n_feat_PCA_RandomForest,EfficientNetB1+EfficientNetB5_n_feat,PCA,RandomForest,542720.0,77.9411,86.7647,85.2941,85.2941,83.8235,85.2941,83.8235,85.2941,85.2941,84.0756,83.8235,82.8571,90.6471,84.3368,6.2700,85.2941,80.0000,88.2353,97.0588,68.5714
EfficientNetB1+EfficientNetB5_n_feat_PCA_Adaboost,EfficientNetB1+EfficientNetB5_n_feat,PCA,Adaboost,542720.0,80.8824,82.6050,79.4118,85.2941,84.0756,85.5042,83.8235,85.2941,85.5042,86.9748,84.0336,82.6050,89.1933,83.7325,5.9312,85.2941,79.8529,88.2353,97.0588,64.7059
EfficientNetB1+EfficientNetB5_n_feat_PCA_Gaussian,EfficientNetB1+EfficientNetB5_n_feat,PCA,Gaussian,542720.0,76.4706,85.2941,88.2353,82.8571,82.8571,75.3782,73.5294,72.0588,69.5798,69.1176,67.6471,70.5882,79.8319,75.5980,8.1448,73.5294,70.5882,82.4789,97.0588,60.0000
EfficientNetB1+EfficientNetB5_n_feat_UMAP_PCC,EfficientNetB1+EfficientNetB5_n_feat,UMAP,PCC,542720.0,77.9412,82.6050,82.3529,82.8571,82.3529,79.7059,83.8235,85.2941,82.3529,82.3529,81.1765,85.2941,84.7983,81.0273,6.0095,82.3529,76.4706,85.2941,94.1176,61.7647
EfficientNetB1+EfficientNetB5_n_feat_UMAP_J48,EfficientNetB1+EfficientNetB5_n_feat,UMAP,J48,542720.0,76.4706,79.4118,82.3529,80.8824,79.4118,76.8067,79.7059,78.2773,80.8824,83.8235,76.4706,82.6050,79.5546,80.1008,5.9108,79.4118,76.4706,85.2941,91.1765,65.7143
EfficientNetB1+EfficientNetB5_n_feat_UMAP_RBF,EfficientNetB1+EfficientNetB5_n_feat,UMAP,RBF,542720.0,78.2773,80.8824,79.4118,80.8824,77.9412,80.8824,77.9412,79.4118,79.4118,79.4118,79.4118,77.9412,90.0588,79.3144,5.9736,79.4118,75.9244,83.4664,94.1176,64.7059
EfficientNetB1+EfficientNetB5_n_feat_UMAP_LinearSVM,EfficientNetB1+EfficientNetB5_n_feat,UMAP,LinearSVM,542720.0,70.5882,80.8824,79.7059,80.8824,79.7059,80.8824,79.7059,80.8824,80.8824,80.8824,80.8824,79.7059,91.7983,80.6162,5.6256,79.4118,76.4706,85.2941,91.1765,64.7059
EfficientNetB1+EfficientNetB5_n_feat_UMAP_MLP,EfficientNetB1+EfficientNetB5_n_feat,UMAP,MLP,542720.0,76.4706,85.5042,80.8824,84.0756,82.6050,80.8824,79.7059,81.1765,76.4706,75.0000,69.1176,73.5294,90.0420,78.5154,8.2730,79.4118,73.5294,85.2941,91.1765,42.8571
EfficientNetB1+EfficientNetB5_n_feat_UMAP_Logistic,EfficientNetB1+EfficientNetB5_n_feat,UMAP,Logistic,542720.0,70.5882,85.2941,85.2941,84.0756,83.8235,86.7647,82.3529,83.8235,83.8235,85.5042,82.3529,82.3529,91.5042,82.1604,6.8235,82.8571,77.1429,88.2353,94.1176,64.7059
EfficientNetB1+EfficientNetB5_n_feat_UMAP_RandomForest,EfficientNetB1+EfficientNetB5_n_feat,UMAP,RandomForest,542720.0,80.8824,86.7647,88.2353,88.4033,85.7143,86.9748,86.7647,89.7059,88.2353,86.7647,86.9748,85.5042,90.6471,86.3333,5.3035,88.2353,82.3529,91.1765,100.0000,73.5294
EfficientNetB1+EfficientNetB5_n_feat_UMAP_Adaboost,EfficientNetB1+EfficientNetB5_n_feat,UMAP,Adaboost,542720.0,76.4706,83.8235,85.2941,85.7143,85.2941,85.5042,83.8235,80.8824,86.9748,82.3529,84.0756,81.1765,89.1933,83.4895,5.4803,85.2941,79.4118,88.2353,97.0588,67.6471
EfficientNetB1+EfficientNetB5_n_feat_UMAP_Gaussian,EfficientNetB1+EfficientNetB5_n_feat,UMAP,Gaussian,542720.0,72.0588,79.4118,77.9412,79.7059,80.8824,76.4706,78.2773,76.4706,79.4118,79.4118,79.4118,76.8067,79.8319,78.4818,5.8043,79.4118,74.0966,82.3529,88.5714,64.7059
EfficientNetB1+EfficientNetB5_n_feat_ReliefF_PCC,EfficientNetB1+EfficientNetB5_n_feat,ReliefF,PCC,542720.0,64.7059,64.7059,66.6807,66.6807,69.1176,67.6471,71.0084,66.6386,62.3109,67.6471,73.5294,69.1176,84.7983,67.0504,9.4949,67.6471,61.7647,73.5294,88.2353,38.2353
EfficientNetB1+EfficientNetB5_n_feat_ReliefF_J48,EfficientNetB1+EfficientNetB5_n_feat,ReliefF,J48,542720.0,59.4117,61.4286,60.2941,61.7647,65.2101,67.6471,69.1176,73.5294,69.1176,66.6807,70.5882,70.5882,79.5546,66.3943,9.3118,66.6807,58.8235,73.5294,94.1176,44.1176
EfficientNetB1+EfficientNetB5_n_feat_ReliefF_RBF,EfficientNetB1+EfficientNetB5_n_feat,ReliefF,RBF,542720.0,62.3529,68.1093,70.5882,72.4790,70.5882,70.5882,76.8067,76.8067,76.8067,76.4706,78.2773,82.3529,90.0588,73.3698,9.3324,73.5294,67.6471,79.4118,91.1765,50.0000
EfficientNetB1+EfficientNetB5_n_feat_ReliefF_LinearSVM,EfficientNetB1+EfficientNetB5_n_feat,ReliefF,LinearSVM,542720.0,55.0840,61.7647,64.7059,66.1765,68.1093,66.6386,72.4369,71.0084,72.8572,74.2857,79.4118,78.2353,91.7983,69.2941,10.6250,68.5714,61.7647,76.4706,91.1765,34.2857
EfficientNetB1+EfficientNetB5_n_feat_ReliefF_MLP,EfficientNetB1+EfficientNetB5_n_feat,ReliefF,MLP,542720.0,68.5714,62.3109,66.1765,72.4790,72.0588,75.0000,79.7059,77.9412,77.1429,79.4118,78.2773,84.0756,90.0420,73.6296,10.8034,74.2857,67.6471,82.3529,91.1765,44.1176
EfficientNetB1+EfficientNetB5_n_feat_ReliefF_Logistic,EfficientNetB1+EfficientNetB5_n_feat,ReliefF,Logistic,542720.0,66.7227,69.5798,75.0000,75.0000,70.5882,76.4706,75.0000,75.0000,75.3362,75.3782,79.7479,79.7059,91.5042,73.8480,10.0512,73.5294,68.5714,80.0000,94.1176,31.4286
EfficientNetB1+EfficientNetB5_n_feat_ReliefF_RandomForest,EfficientNetB1+EfficientNetB5_n_feat,ReliefF,RandomForest,542720.0,60.0000,72.0588,70.5882,73.5294,73.9076,72.4790,81.1765,80.8824,84.0756,88.2353,85.5042,88.2353,90.6471,76.7724,11.7144,78.2773,70.5882,85.2941,97.0588,41.1765
EfficientNetB1+EfficientNetB5_n_feat_ReliefF_Adaboost,EfficientNetB1+EfficientNetB5_n_feat,ReliefF,Adaboost,542720.0,64.7059,64.7059,67.6471,73.9076,68.1093,70.5882,75.3782,77.9412,71.0084,77.9412,78.2773,79.4118,89.1933,72.3459,9.5385,73.5294,67.6471,79.4118,91.1765,35.2941
EfficientNetB1+EfficientNetB5_n_feat_ReliefF_Gaussian,EfficientNetB1+EfficientNetB5_n_feat,ReliefF,Gaussian,542720.0,63.7815,66.1765,67.6471,72.4790,70.5882,70.5882,70.5882,78.2773,77.9412,76.4706,81.1765,79.4118,79.8319,71.8571,9.6810,73.5294,64.7059,79.4118,88.2353,50.0000
MobileNet+ResNet101_n_feat_PCA_PCC,MobileNet+ResNet101_n_feat,PCA,PCC,150528.0,69.5798,89.8740,88.2353,86.9748,85.2941,86.7647,86.7647,85.5042,82.6050,82.3529,79.4118,77.9412,71.4034,83.0798,6.9828,84.0756,79.4118,88.2353,94.1176,64.7059
MobileNet+ResNet101_n_feat_PCA_J48,MobileNet+ResNet101_n_feat,PCA,J48,150528.0,61.7647,84.0336,81.1765,82.3529,82.3529,80.8824,76.4706,80.8824,79.4118,76.8067,77.9412,75.0000,75.7479,78.2374,8.1258,79.4118,73.5294,82.8571,97.0588,47.0588
MobileNet+ResNet101_n_feat_PCA_RBF,MobileNet+ResNet101_n_feat,PCA,RBF,150528.0,68.1093,89.7059,91.3025,91.1765,92.6471,91.3025,94.1176,92.7731,91.1765,91.1765,89.7059,89.8740,89.7815,88.9825,7.3937,91.1765,85.7143,94.1176,97.0588,61.7647
MobileNet+ResNet101_n_feat_PCA_LinearSVM,MobileNet+ResNet101_n_feat,PCA,LinearSVM,150528.0,61.7647,85.5042,91.1765,88.2353,91.1765,85.2941,89.8740,88.4033,88.4033,89.7059,91.1765,89.7059,93.0000,86.5042,8.9815,88.2353,82.8571,91.2395,100.0000,52.9412
MobileNet+ResNet101_n_feat_PCA_MLP,MobileNet+ResNet101_n_feat,PCA,MLP,150528.0,66.1765,85.2941,88.2353,86.9327,85.2941,88.2353,85.2941,86.7647,85.2941,85.2941,79.4118,80.8824,54.8655,83.1050,8.5698,85.2941,79.4118,88.5714,97.0588,58.8235
MobileNet+ResNet101_n_feat_PCA_Logistic,MobileNet+ResNet101_n_feat,PCA,Logistic,150528.0,61.7647,88.2353,88.2353,89.8740,88.4033,88.2353,89.8740,91.1765,91.3445,91.1765,89.7059,92.6471,92.6975,86.3816,9.5121,88.2353,85.2941,91.2395,100.0000,50.0000
MobileNet+ResNet101_n_feat_PCA_RandomForest,MobileNet+ResNet101_n_feat,PCA,RandomForest,150528.0,65.2101,91.3025,91.1765,91.1765,89.7059,91.3025,91.1765,91.1765,91.1765,88.4033,89.7059,86.7647,90.3614,87.7598,8.5056,91.1765,84.6848,91.4286,100.0000,50.0000
MobileNet+ResNet101_n_feat_PCA_Adaboost,MobileNet+ResNet101_n_feat,PCA,Adaboost,150528.0,70.5882,88.2353,88.2353,91.1765,88.4454,86.7647,91.1765,89.8740,91.1765,91.1765,91.3025,89.7059,84.5462,86.3494,8.6838,88.4033,82.3529,91.1765,97.1429,50.0000
MobileNet+ResNet101_n_feat_PCA_Gaussian,MobileNet+ResNet101_n_feat,PCA,Gaussian,150528.0,63.7815,86.7647,86.7647,89.7059,88.2353,85.5462,78.2773,75.2941,73.5294,73.5294,73.5294,70.5882,71.3278,78.0644,10.6485,79.4118,70.5882,88.2353,97.0588,52.9412
MobileNet+ResNet101_n_feat_UMAP_PCC,MobileNet+ResNet101_n_feat,UMAP,PCC,150528.0,75.3362,79.4118,79.4118,82.3529,79.4118,80.8824,79.4118,77.9412,78.2773,79.7059,79.4118,81.1765,71.4034,78.6352,5.4110,79.4118,76.4706,82.3529,88.5714,61.7647
MobileNet+ResNet101_n_feat_UMAP_J48,MobileNet+ResNet101_n_feat,UMAP,J48,150528.0,60.2941,78.2353,75.0000,75.0000,72.4369,77.9412,75.0000,79.4118,79.4118,79.4118,75.0000,73.9076,75.7479,74.9594,7.4754,76.4706,70.5882,79.4118,91.1765,52.9412
MobileNet+ResNet101_n_feat_UMAP_RBF,MobileNet+ResNet101_n_feat,UMAP,RBF,150528.0,73.9076,73.9076,73.9076,73.5294,69.1176,73.5294,73.5294,75.0000,73.5294,73.5294,66.1765,64.7059,89.7815,69.6898,9.5127,73.5294,67.6471,76.4706,82.3529,40.0000
MobileNet+ResNet101_n_feat_UMAP_LinearSVM,MobileNet+ResNet101_n_feat,UMAP,LinearSVM,150528.0,64.7059,76.8067,79.4118,78.2773,76.4706,79.4118,76.8067,76.4706,78.2773,79.4118,78.2773,76.8067,93.0000,77.0525,6.2475,77.1429,76.4706,79.5589,88.2353,41.1765
MobileNet+ResNet101_n_feat_UMAP_MLP,MobileNet+ResNet101_n_feat,UMAP,MLP,150528.0,73.5294,76.8067,83.8235,81.1765,77.9412,75.0000,76.8067,76.8067,67.6470,71.0504,63.2353,52.1849,54.8655,72.8347,11.3855,76.4706,68.3403,80.0000,88.2353,34.2857
MobileNet+ResNet101_n_feat_UMAP_Logistic,MobileNet+ResNet101_n_feat,UMAP,Logistic,150528.0,66.6807,78.2353,80.8824,82.3529,82.3529,85.2941,81.1765,82.6050,82.3529,82.3529,79.4118,82.3529,92.6975,79.7192,7.0880,82.3529,76.4706,82.8571,88.2353,32.3529
MobileNet+ResNet101_n_feat_UMAP_RandomForest,MobileNet+ResNet101_n_feat,UMAP,RandomForest,150528.0,73.5294,82.3529,82.3529,82.3529,85.2941,83.8235,82.3529,86.7647,85.5042,84.0756,82.8571,88.2353,90.3614,83.2892,6.0166,85.2941,79.4118,88.2353,94.2857,61.7647
MobileNet+ResNet101_n_feat_UMAP_Adaboost,MobileNet+ResNet101_n_feat,UMAP,Adaboost,150528.0,70.5882,79.4118,82.3529,79.4118,82.3529,76.8067,82.3529,85.2941,79.4118,84.0756,85.2941,85.2941,84.5462,80.5756,6.3369,82.3529,76.4706,85.2941,91.4286,60.0000
MobileNet+ResNet101_n_feat_UMAP_Gaussian,MobileNet+ResNet101_n_feat,UMAP,Gaussian,150528.0,65.2101,82.3529,81.1765,79.7059,79.7059,79.4118,79.7059,80.8824,81.1765,79.7059,79.4118,81.1765,71.3278,79.0840,7.6162,79.4118,76.4706,82.4789,97.1429,55.8824
MobileNet+ResNet101_n_feat_ReliefF_PCC,MobileNet+ResNet101_n_feat,ReliefF,PCC,150528.0,81.1765,82.3529,85.2941,83.8235,85.2941,83.8235,83.8235,82.3529,82.6050,79.4118,80.8824,79.4118,71.4034,82.3396,5.2586,82.3529,79.4118,85.2941,94.1176,65.7143
MobileNet+ResNet101_n_feat_ReliefF_J48,MobileNet+ResNet101_n_feat,ReliefF,J48,150528.0,77.9412,78.2773,75.3782,76.4706,76.4706,79.4118,82.3529,77.9412,82.3529,79.4118,77.9412,73.5294,75.7479,78.3389,6.3629,79.4118,73.5294,82.3529,94.1176,64.7059
MobileNet+ResNet101_n_feat_ReliefF_RBF,MobileNet+ResNet101_n_feat,ReliefF,RBF,150528.0,79.4118,85.2941,86.7647,85.2941,85.5042,86.9748,88.2353,91.1765,86.9748,88.2353,88.4033,89.8740,89.7815,86.9363,5.1638,88.2353,85.2941,91.1765,97.0588,70.5882
MobileNet+ResNet101_n_feat_ReliefF_LinearSVM,MobileNet+ResNet101_n_feat,ReliefF,LinearSVM,150528.0,76.4706,85.2941,85.2941,83.8235,86.7647,88.2353,86.9748,88.4033,88.4033,89.8740,88.4033,89.8740,93.0000,86.2038,5.6438,88.2353,82.3529,91.1765,97.0588,67.6471
MobileNet+ResNet101_n_feat_ReliefF_MLP,MobileNet+ResNet101_n_feat,ReliefF,MLP,150528.0,81.1765,80.8824,83.8235,86.7647,85.2941,88.2353,89.7059,91.1765,86.7647,83.8235,85.5042,88.2353,54.8655,84.9426,6.1646,85.2941,80.0000,88.2353,97.0588,70.5882
MobileNet+ResNet101_n_feat_ReliefF_Logistic,MobileNet+ResNet101_n_feat,ReliefF,Logistic,150528.0,79.7059,82.6050,82.3529,88.2353,86.9748,86.9748,88.2353,88.2353,88.2353,91.3025,91.1765,91.1765,92.6975,86.4678,6.4718,88.2353,82.3529,91.1765,97.0588,64.7059
MobileNet+ResNet101_n_feat_ReliefF_RandomForest,MobileNet+ResNet101_n_feat,ReliefF,RandomForest,150528.0,78.2773,83.8235,82.6050,85.5042,82.6050,88.2353,88.2353,91.1765,91.1765,86.9748,89.7059,89.7059,90.3614,86.5763,5.4540,85.7143,82.7311,91.1765,97.0588,64.7059
MobileNet+ResNet101_n_feat_ReliefF_Adaboost,MobileNet+ResNet101_n_feat,ReliefF,Adaboost,150528.0,79.7059,85.2941,85.2941,82.3529,82.3529,86.9748,85.5042,88.2353,88.2353,88.2353,84.0756,88.4033,84.5462,85.2808,6.2565,85.2941,82.3529,88.2353,97.0588,67.6471
MobileNet+ResNet101_n_feat_ReliefF_Gaussian,MobileNet+ResNet101_n_feat,ReliefF,Gaussian,150528.0,77.1429,79.4118,82.6050,85.5042,88.4033,88.2353,88.4033,88.2353,88.2353,86.9748,85.2941,85.5042,71.3278,84.9503,5.4758,85.2941,82.3529,88.2353,94.1176,64.7059
ResNet101+DenseNet169_n_feat_PCA_PCC,ResNet101+DenseNet169_n_feat,PCA,PCC,181888.0,76.4706,88.2353,86.7647,86.9748,82.6050,88.2353,85.2941,85.2941,85.2941,82.6050,82.3529,80.8824,73.7143,84.1029,5.9523,85.2941,80.0000,88.2353,94.1176,64.7059
ResNet101+DenseNet169_n_feat_PCA_J48,ResNet101+DenseNet169_n_feat,PCA,J48,181888.0,65.2101,80.8824,77.9412,79.4118,78.2773,78.2773,75.3362,77.9412,81.1765,81.1345,75.3362,73.9496,74.2941,76.1457,8.3994,76.8067,70.5882,82.4789,94.1176,50.0000
ResNet101+DenseNet169_n_feat_PCA_RBF,ResNet101+DenseNet169_n_feat,PCA,RBF,181888.0,73.5294,89.7059,89.7059,89.8740,92.7731,94.1176,94.1176,91.3025,94.1176,92.6471,91.3025,91.1765,89.1933,89.2451,6.6938,91.1765,85.7143,94.1176,97.1429,55.8824
ResNet101+DenseNet169_n_feat_PCA_LinearSVM,ResNet101+DenseNet169_n_feat,PCA,LinearSVM,181888.0,75.0000,86.7647,85.5042,83.8235,88.2353,85.2941,85.2941,88.2353,91.3025,89.8740,88.2353,85.5042,92.1260,85.2829,7.7637,88.2353,82.3529,91.1765,97.0588,50.0000
ResNet101+DenseNet169_n_feat_PCA_MLP,ResNet101+DenseNet169_n_feat,PCA,MLP,181888.0,75.0000,82.3529,82.6050,81.1765,84.0756,86.7647,85.5042,83.8235,86.7647,84.0756,79.7059,75.3782,88.6134,82.2332,7.1892,82.3529,79.4118,88.2353,100.0000,61.7647
ResNet101+DenseNet169_n_feat_PCA_Logistic,ResNet101+DenseNet169_n_feat,PCA,Logistic,181888.0,76.4706,85.2941,86.9748,85.2941,88.2353,84.0756,85.2941,89.7059,92.6471,91.1765,91.1765,89.7059,92.1260,85.9699,7.8887,88.2353,82.3529,91.1765,100.0000,50.0000
ResNet101+DenseNet169_n_feat_PCA_RandomForest,ResNet101+DenseNet169_n_feat,PCA,RandomForest,181888.0,70.5882,89.7059,89.7059,89.7059,88.5714,88.2353,88.4033,91.1765,89.7059,89.8740,89.7059,85.5042,90.0672,87.0679,7.3428,88.2353,85.2941,91.1765,97.0588,55.8824
ResNet101+DenseNet169_n_feat_PCA_Adaboost,ResNet101+DenseNet169_n_feat,PCA,Adaboost,181888.0,66.6807,84.0756,85.2941,89.7059,85.5462,88.2353,88.2353,88.4033,86.7647,88.2353,88.2353,85.5042,87.7227,84.9027,7.2121,85.2941,82.3529,88.5714,97.0588,57.1429
ResNet101+DenseNet169_n_feat_PCA_Gaussian,ResNet101+DenseNet169_n_feat,PCA,Gaussian,181888.0,72.4790,85.5042,85.5042,85.2941,85.5042,82.6050,76.8067,73.5294,69.1176,69.1176,67.6471,71.0084,65.7647,76.3235,9.3835,76.4706,70.5882,83.4664,91.1765,55.8824
ResNet101+DenseNet169_n_feat_UMAP_PCC,ResNet101+DenseNet169_n_feat,UMAP,PCC,181888.0,73.9076,80.8824,82.3529,81.1765,79.4118,79.4118,79.7059,79.4118,79.4118,79.4118,79.4118,80.8824,73.7143,79.4475,4.4783,79.4118,76.4706,82.3529,88.2353,58.8235
ResNet101+DenseNet169_n_feat_UMAP_J48,ResNet101+DenseNet169_n_feat,UMAP,J48,181888.0,77.9412,75.3782,77.9412,76.8067,79.4118,78.2773,81.1345,76.4706,79.4118,75.0000,79.4118,81.1765,74.2941,78.1849,6.3045,79.4118,73.5294,82.3529,94.1176,61.7647
ResNet101+DenseNet169_n_feat_UMAP_RBF,ResNet101+DenseNet169_n_feat,UMAP,RBF,181888.0,75.3362,75.0000,76.4706,77.9412,76.8487,79.4118,77.9412,77.9412,76.4706,75.0000,77.9412,72.0589,89.1933,73.8515,9.3278,76.4706,70.5882,79.4118,88.2353,40.0000
ResNet101+DenseNet169_n_feat_UMAP_LinearSVM,ResNet101+DenseNet169_n_feat,UMAP,LinearSVM,181888.0,64.7059,82.3529,82.3529,82.3529,79.4118,80.8824,82.3529,80.8824,79.7059,82.3529,81.1765,79.7059,92.1260,79.6092,6.2265,80.0000,79.4118,82.3529,88.5714,50.0000
ResNet101+DenseNet169_n_feat_UMAP_MLP,ResNet101+DenseNet169_n_feat,UMAP,MLP,181888.0,75.0000,82.6471,82.3529,81.1765,81.1765,82.3529,82.3529,81.1765,72.4790,75.0000,69.1176,58.8235,88.6134,76.3529,10.2231,79.4118,73.5294,82.3529,88.5714,42.8571
ResNet101+DenseNet169_n_feat_UMAP_Logistic,ResNet101+DenseNet169_n_feat,UMAP,Logistic,181888.0,63.7815,82.6050,83.8235,82.6050,82.3529,84.0756,82.3529,84.0756,81.1345,82.6050,84.0756,82.3529,92.1260,80.8424,6.6347,82.3529,79.4118,85.2941,91.1765,55.8824
ResNet101+DenseNet169_n_feat_UMAP_RandomForest,ResNet101+DenseNet169_n_feat,UMAP,RandomForest,181888.0,78.2773,83.8235,83.8235,83.8235,85.2941,85.2941,85.2941,85.2941,84.0756,85.5042,84.0756,88.4033,90.0672,84.1393,4.7610,85.2941,82.3529,88.2353,94.1176,61.7647
ResNet101+DenseNet169_n_feat_UMAP_Adaboost,ResNet101+DenseNet169_n_feat,UMAP,Adaboost,181888.0,75.3782,79.7059,78.2773,79.4118,82.3529,85.2941,79.7059,79.7059,80.8824,82.3529,81.1765,85.5042,87.7227,81.0448,5.4312,80.0000,79.4118,85.2941,94.2857,67.6471
ResNet101+DenseNet169_n_feat_UMAP_Gaussian,ResNet101+DenseNet169_n_feat,UMAP,Gaussian,181888.0,70.5882,80.8824,79.4118,80.8824,80.8824,80.8824,82.3529,79.7059,78.2773,78.2773,81.1765,76.4706,65.7647,78.6148,6.3560,79.4118,74.0966,83.4664,91.4286,58.8235
ResNet101+DenseNet169_n_feat_ReliefF_PCC,ResNet101+DenseNet169_n_feat,ReliefF,PCC,181888.0,77.9412,79.4118,81.1345,82.6050,85.2941,84.0756,85.2941,82.6050,83.8235,83.8235,85.2941,82.3529,73.7143,82.4111,5.5138,82.6050,79.4118,85.2941,94.1176,68.5714
ResNet101+DenseNet169_n_feat_ReliefF_J48,ResNet101+DenseNet169_n_feat,ReliefF,J48,181888.0,76.4706,78.2773,82.3529,79.4118,81.1765,79.4118,77.9412,80.8824,76.8067,77.9411,77.9412,76.8067,74.2941,78.5749,6.4838,79.4118,73.5294,82.3529,94.1176,60.0000
ResNet101+DenseNet169_n_feat_ReliefF_RBF,ResNet101+DenseNet169_n_feat,ReliefF,RBF,181888.0,76.4706,79.4118,82.6471,85.2941,85.2941,86.7647,85.2941,86.7647,86.7647,89.7059,86.7647,86.7647,89.1933,84.2038,6.3993,85.2941,80.0000,88.2353,97.0588,65.7143
ResNet101+DenseNet169_n_feat_ReliefF_LinearSVM,ResNet101+DenseNet169_n_feat,ReliefF,LinearSVM,181888.0,72.0588,79.4118,80.8824,85.2941,83.8235,86.7647,88.2353,88.2353,86.9748,88.2353,88.2353,86.7647,92.1260,84.0560,7.4071,85.2941,79.4118,88.3193,97.0588,65.7143
ResNet101+DenseNet169_n_feat_ReliefF_MLP,ResNet101+DenseNet169_n_feat,ReliefF,MLP,181888.0,76.4706,79.7479,79.4118,80.8824,83.8235,83.8235,86.7647,88.2353,86.7647,83.8235,86.7647,86.7647,88.6134,82.9104,6.5955,82.3529,77.1429,88.2353,97.0588,65.7143
ResNet101+DenseNet169_n_feat_ReliefF_Logistic,ResNet101+DenseNet169_n_feat,ReliefF,Logistic,181888.0,73.5294,77.9412,77.9412,83.8235,86.7647,88.2353,85.2941,86.7647,85.2941,85.2941,84.0756,85.2941,92.1260,83.0714,7.5119,85.2941,77.1429,88.2353,97.0588,65.7143
